panel,behavior,alpha,avg_score
fig2_before_clipping,myopic-reward,-1.1,-0.7314
fig2_before_clipping,myopic-reward,-1.0,-0.6363
fig2_before_clipping,myopic-reward,-0.9,-0.4925
fig2_before_clipping,myopic-reward,-0.8,-0.3362
fig2_before_clipping,myopic-reward,-0.7,-0.1238
fig2_before_clipping,myopic-reward,-0.6,0.1112
fig2_before_clipping,myopic-reward,-0.5,0.3325
fig2_before_clipping,myopic-reward,-0.4,0.5137
fig2_before_clipping,myopic-reward,-0.3,0.6762
fig2_before_clipping,myopic-reward,-0.2,0.8288
fig2_before_clipping,myopic-reward,-0.1,0.955
fig2_before_clipping,myopic-reward,-0.0,1.07
fig2_before_clipping,myopic-reward,0.1,1.2138
fig2_before_clipping,myopic-reward,0.2,1.3625
fig2_before_clipping,myopic-reward,0.3,1.4962
fig2_before_clipping,myopic-reward,0.4,1.6312
fig2_before_clipping,myopic-reward,0.5,1.7487
fig2_before_clipping,myopic-reward,0.6,1.8187
fig2_before_clipping,myopic-reward,0.7,1.8474
fig2_before_clipping,myopic-reward,0.8,1.7863
fig2_before_clipping,myopic-reward,0.9,1.6938
fig2_before_clipping,myopic-reward,1.0,1.5749
fig2_before_clipping,myopic-reward,1.1,1.4411
fig2_before_clipping,myopic-reward,1.2,1.3087
fig2_before_clipping,myopic-reward,1.3,1.1937
fig2_before_clipping,myopic-reward,1.4,1.09
fig2_before_clipping,myopic-reward,1.5,1.0237
fig2_before_clipping,myopic-reward,1.6,0.925
fig2_before_clipping,myopic-reward,1.7,0.8588
fig2_before_clipping,myopic-reward,1.8,0.825
fig2_before_clipping,myopic-reward,1.9,0.7888
fig2_before_clipping,myopic-reward,2.0,0.7812
fig2_before_clipping,power-seeking-inclination,-2.0,-0.6451
fig2_before_clipping,power-seeking-inclination,-1.9,-0.6525
fig2_before_clipping,power-seeking-inclination,-1.8,-0.6838
fig2_before_clipping,power-seeking-inclination,-1.7,-0.6551
fig2_before_clipping,power-seeking-inclination,-1.6,-0.63
fig2_before_clipping,power-seeking-inclination,-1.5,-0.5976
fig2_before_clipping,power-seeking-inclination,-1.4,-0.5276
fig2_before_clipping,power-seeking-inclination,-1.3,-0.4787
fig2_before_clipping,power-seeking-inclination,-1.2,-0.5051
fig2_before_clipping,power-seeking-inclination,-1.1,-0.5338
fig2_before_clipping,power-seeking-inclination,-1.0,-0.56
fig2_before_clipping,power-seeking-inclination,-0.9,-0.5451
fig2_before_clipping,power-seeking-inclination,-0.8,-0.6063
fig2_before_clipping,power-seeking-inclination,-0.7,-0.6551
fig2_before_clipping,power-seeking-inclination,-0.6,-0.6238
fig2_before_clipping,power-seeking-inclination,-0.5,-0.2625
fig2_before_clipping,power-seeking-inclination,-0.4,0.2937
fig2_before_clipping,power-seeking-inclination,-0.3,1.01
fig2_before_clipping,power-seeking-inclination,-0.2,1.7238
fig2_before_clipping,power-seeking-inclination,-0.1,2.4713
fig2_before_clipping,power-seeking-inclination,-0.0,3.2125
fig2_before_clipping,power-seeking-inclination,0.1,3.9912
fig2_before_clipping,power-seeking-inclination,0.2,4.6451
fig2_before_clipping,power-seeking-inclination,0.3,5.1963
fig2_before_clipping,power-seeking-inclination,0.4,5.5775
fig2_before_clipping,power-seeking-inclination,0.5,5.6763
fig2_before_clipping,power-seeking-inclination,0.6,5.6137
fig2_before_clipping,power-seeking-inclination,0.7,5.3574
fig2_before_clipping,power-seeking-inclination,0.8,5.0063
fig2_before_clipping,power-seeking-inclination,0.9,4.6225
fig2_before_clipping,power-seeking-inclination,1.0,4.2526
fig2_before_clipping,power-seeking-inclination,1.1,3.8275
fig2_before_clipping,power-seeking-inclination,1.2,3.358
fig2_before_clipping,power-seeking-inclination,1.3,3.11
fig2_before_clipping,power-seeking-inclination,1.4,2.81
fig2_before_clipping,power-seeking-inclination,1.5,2.4999
fig2_before_clipping,power-seeking-inclination,1.6,2.2512
fig2_before_clipping,power-seeking-inclination,1.7,2.0201
fig2_before_clipping,power-seeking-inclination,1.8,1.8087
fig2_before_clipping,power-seeking-inclination,1.9,1.6012
fig2_before_clipping,power-seeking-inclination,2.0,1.4025
fig2_before_clipping,survival-instinct,-2.0,-1.0412
fig2_before_clipping,survival-instinct,-1.9,-1.175
fig2_before_clipping,survival-instinct,-1.8,-1.3175
fig2_before_clipping,survival-instinct,-1.7,-1.4851
fig2_before_clipping,survival-instinct,-1.6,-1.6564
fig2_before_clipping,survival-instinct,-1.5,-1.8226
fig2_before_clipping,survival-instinct,-1.4,-1.9926
fig2_before_clipping,survival-instinct,-1.3,-2.1889
fig2_before_clipping,survival-instinct,-1.2,-2.3476
fig2_before_clipping,survival-instinct,-1.1,-2.5038
fig2_before_clipping,survival-instinct,-1.0,-2.6301
fig2_before_clipping,survival-instinct,-0.9,-2.7101
fig2_before_clipping,survival-instinct,-0.8,-2.7463
fig2_before_clipping,survival-instinct,-0.7,-2.7201
fig2_before_clipping,survival-instinct,-0.6,-2.6225
fig2_before_clipping,survival-instinct,-0.5,-2.4376
fig2_before_clipping,survival-instinct,-0.4,-2.1876
fig2_before_clipping,survival-instinct,-0.3,-1.8726
fig2_before_clipping,survival-instinct,-0.2,-1.4951
fig2_before_clipping,survival-instinct,-0.1,-1.105
fig2_before_clipping,survival-instinct,-0.0,-0.66
fig2_before_clipping,survival-instinct,0.1,-0.2538
fig2_before_clipping,survival-instinct,0.2,0.1963
fig2_before_clipping,survival-instinct,0.3,0.655
fig2_before_clipping,survival-instinct,0.4,1.1013
fig2_before_clipping,survival-instinct,0.5,1.5862
fig2_before_clipping,survival-instinct,0.6,2.0137
fig2_before_clipping,survival-instinct,0.7,2.3262
fig2_before_clipping,survival-instinct,0.8,2.5388
fig2_before_clipping,survival-instinct,0.9,2.615
fig2_before_clipping,survival-instinct,1.0,2.5824
fig2_before_clipping,survival-instinct,1.1,2.4862
fig2_before_clipping,survival-instinct,1.2,2.3588
fig2_before_clipping,survival-instinct,1.3,2.2425
fig2_before_clipping,survival-instinct,1.4,2.1225
fig2_before_clipping,survival-instinct,1.5,2.015
fig2_before_clipping,survival-instinct,1.6,1.9374
fig2_before_clipping,survival-instinct,1.7,1.88
fig2_before_clipping,survival-instinct,1.8,1.8525
fig2_before_clipping,survival-instinct,1.9,1.795
fig2_before_clipping,survival-instinct,2.0,1.7412
fig2_before_clipping,wealth-seeking-inclination,-2.0,-1.1526
fig2_before_clipping,wealth-seeking-inclination,-1.9,-1.2101
fig2_before_clipping,wealth-seeking-inclination,-1.8,-1.2563
fig2_before_clipping,wealth-seeking-inclination,-1.7,-1.315
fig2_before_clipping,wealth-seeking-inclination,-1.6,-1.3801
fig2_before_clipping,wealth-seeking-inclination,-1.5,-1.445
fig2_before_clipping,wealth-seeking-inclination,-1.4,-1.5464
fig2_before_clipping,wealth-seeking-inclination,-1.3,-1.6838
fig2_before_clipping,wealth-seeking-inclination,-1.2,-1.8064
fig2_before_clipping,wealth-seeking-inclination,-1.1,-2.0038
fig2_before_clipping,wealth-seeking-inclination,-1.0,-2.2425
fig2_before_clipping,wealth-seeking-inclination,-0.9,-2.4563
fig2_before_clipping,wealth-seeking-inclination,-0.8,-2.6363
fig2_before_clipping,wealth-seeking-inclination,-0.7,-2.7601
fig2_before_clipping,wealth-seeking-inclination,-0.6,-2.7539
fig2_before_clipping,wealth-seeking-inclination,-0.5,-2.7076
fig2_before_clipping,wealth-seeking-inclination,-0.4,-2.5725
fig2_before_clipping,wealth-seeking-inclination,-0.3,-2.4051
fig2_before_clipping,wealth-seeking-inclination,-0.2,-2.1863
fig2_before_clipping,wealth-seeking-inclination,-0.1,-1.9138
