behavior,gamma,A,B,loss,endpoint_term,slope,f_A,f_B,global_min,global_max,padded_lo,padded_hi,mapped_alpha_at_minus1,mapped_alpha_at_plus1
myopic-reward,0.3,-1.2,0.6,0.005729,0.06543,1.199002,-0.600586,1.557617,-0.703125,1.585938,-2.078049,1.478049,-1.189024,0.589024
survival-instinct,0.3,-0.7,0.8,-0.585547,0.072266,3.192708,-2.572266,2.216797,-2.619141,2.314453,-1.431707,1.531707,-0.690854,0.790854
power-seeking-inclination,0.3,-0.6,0.4,-1.430859,0.082031,6.042969,-0.637695,5.40625,-0.637695,5.570312,-1.087805,0.887805,-0.593902,0.393902
wealth-seeking-inclination,0.3,-0.5,0.8,-0.551976,0.05127,3.010817,-2.060547,1.852539,-2.148438,1.867188,-1.134146,1.434146,-0.492073,0.792073
coordinate-other-ais,0.35,-0.6,0.5,-0.988401,0.030029,3.909801,-0.791016,3.509766,-0.813965,3.546875,-1.136585,1.036585,-0.593293,0.493293
corrigible-neutral-HHH,0.35,-0.7,0.2,-2.361019,0.497314,9.166667,0.275879,8.523438,-0.484375,8.757812,-1.139024,0.639024,-0.694512,0.194512
myopic-reward,0.35,-1.2,0.6,-0.004221,0.06543,1.199002,-0.600586,1.557617,-0.703125,1.585938,-2.078049,1.478049,-1.189024,0.589024
survival-instinct,0.35,-0.7,0.8,-0.695182,0.072266,3.192708,-2.572266,2.216797,-2.619141,2.314453,-1.431707,1.531707,-0.690854,0.790854
power-seeking-inclination,0.35,-0.6,0.4,-1.683008,0.082031,6.042969,-0.637695,5.40625,-0.637695,5.570312,-1.087805,0.887805,-0.593902,0.393902
wealth-seeking-inclination,0.35,-0.5,0.8,-0.652517,0.05127,3.010817,-2.060547,1.852539,-2.148438,1.867188,-1.134146,1.434146,-0.492073,0.792073
coordinate-other-ais,0.4,-0.5,0.4,-1.154932,0.202881,4.394531,-0.609375,3.345703,-0.813965,3.546875,-0.939024,0.839024,-0.494512,0.394512
corrigible-neutral-HHH,0.4,-0.7,0.2,-2.769352,0.497314,9.166667,0.275879,8.523438,-0.484375,8.757812,-1.139024,0.639024,-0.694512,0.194512
myopic-reward,0.4,-1.1,0.6,-0.015585,0.083496,1.247702,-0.564453,1.557617,-0.703125,1.585938,-1.929268,1.429268,-1.089634,0.589634
survival-instinct,0.4,-0.6,0.8,-0.811077,0.125977,3.342634,-2.464844,2.216797,-2.619141,2.314453,-1.282927,1.482927,-0.591463,0.791463
power-seeking-inclination,0.4,-0.5,0.4,-1.952254,0.215454,6.419271,-0.37085,5.40625,-0.637695,5.570312,-0.939024,0.839024,-0.494512,0.394512
wealth-seeking-inclination,0.4,-0.4,0.8,-0.753483,0.11084,3.160807,-1.941406,1.852539,-2.148438,1.867188,-0.985366,1.385366,-0.392683,0.792683
coordinate-other-ais,0.45,-0.5,0.4,-1.324658,0.202881,4.394531,-0.609375,3.345703,-0.813965,3.546875,-0.939024,0.839024,-0.494512,0.394512
corrigible-neutral-HHH,0.45,-0.7,0.2,-3.177686,0.497314,9.166667,0.275879,8.523438,-0.484375,8.757812,-1.139024,0.639024,-0.694512,0.194512
myopic-reward,0.45,-1.1,0.6,-0.02797,0.083496,1.247702,-0.564453,1.557617,-0.703125,1.585938,-1.929268,1.429268,-1.089634,0.589634
survival-instinct,0.45,-0.6,0.8,-0.928209,0.125977,3.342634,-2.464844,2.216797,-2.619141,2.314453,-1.282927,1.482927,-0.591463,0.791463
power-seeking-inclination,0.45,-0.5,0.3,-2.231641,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
wealth-seeking-inclination,0.45,-0.4,0.8,-0.861523,0.11084,3.160807,-1.941406,1.852539,-2.148438,1.867188,-0.985366,1.385366,-0.392683,0.792683
coordinate-other-ais,0.5,-0.5,0.4,-1.494385,0.202881,4.394531,-0.609375,3.345703,-0.813965,3.546875,-0.939024,0.839024,-0.494512,0.394512
corrigible-neutral-HHH,0.5,-0.7,0.1,-3.603027,0.743164,9.692383,0.275879,8.03125,-0.484375,8.757812,-1.090244,0.490244,-0.695122,0.095122
myopic-reward,0.5,-1.1,0.6,-0.040355,0.083496,1.247702,-0.564453,1.557617,-0.703125,1.585938,-1.929268,1.429268,-1.089634,0.589634
survival-instinct,0.5,-0.6,0.8,-1.04534,0.125977,3.342634,-2.464844,2.216797,-2.619141,2.314453,-1.282927,1.482927,-0.591463,0.791463
power-seeking-inclination,0.5,-0.5,0.3,-2.521973,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
wealth-seeking-inclination,0.5,-0.4,0.8,-0.969564,0.11084,3.160807,-1.941406,1.852539,-2.148438,1.867188,-0.985366,1.385366,-0.392683,0.792683
coordinate-other-ais,0.55,-0.5,0.4,-1.664111,0.202881,4.394531,-0.609375,3.345703,-0.813965,3.546875,-0.939024,0.839024,-0.494512,0.394512
corrigible-neutral-HHH,0.55,-0.6,0.1,-4.039844,1.039062,10.234375,0.867676,8.03125,-0.484375,8.757812,-0.941463,0.441463,-0.595732,0.095732
myopic-reward,0.55,-1.1,0.6,-0.05274,0.083496,1.247702,-0.564453,1.557617,-0.703125,1.585938,-1.929268,1.429268,-1.089634,0.589634
survival-instinct,0.55,-0.6,0.8,-1.162472,0.125977,3.342634,-2.464844,2.216797,-2.619141,2.314453,-1.282927,1.482927,-0.591463,0.791463
power-seeking-inclination,0.55,-0.5,0.3,-2.812305,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
