estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,1.0,1.0,1.9638671875,0.7,alpha_first
orthogonal-parameterized,1.0,1.5,1.4501953125,0.59,alpha_first
orthogonal-parameterized,1.0,2.0,1.08984375,0.52,alpha_first
parameterized,1.0,-2.0,-0.19873046875,0.44,alpha_first
parameterized,1.0,-1.5,-0.2149658203125,0.425,alpha_first
parameterized,1.0,-1.0,-0.02313232421875,0.425,alpha_first
parameterized,1.0,-0.5,0.60302734375,0.545,alpha_first
parameterized,1.0,0.0,1.4775390625,0.7,alpha_first
parameterized,1.0,0.5,2.4609375,0.8,alpha_first
parameterized,1.0,1.0,2.6953125,0.84,alpha_first
parameterized,1.0,1.5,2.23046875,0.75,alpha_first
parameterized,1.0,2.0,1.732421875,0.65,alpha_first
orthogonal-parameterized,1.25,-2.0,0.09063720703125,0.445,alpha_first
orthogonal-parameterized,1.25,-1.5,0.79296875,0.575,alpha_first
orthogonal-parameterized,1.25,-1.0,1.68359375,0.74,alpha_first
orthogonal-parameterized,1.25,-0.5,2.564453125,0.83,alpha_first
orthogonal-parameterized,1.25,0.0,2.66015625,0.82,alpha_first
orthogonal-parameterized,1.25,0.5,2.14453125,0.725,alpha_first
orthogonal-parameterized,1.25,1.0,1.63671875,0.6,alpha_first
orthogonal-parameterized,1.25,1.5,1.2626953125,0.55,alpha_first
orthogonal-parameterized,1.25,2.0,0.97119140625,0.51,alpha_first
parameterized,1.25,-2.0,-0.12127685546875,0.45,alpha_first
parameterized,1.25,-1.5,-0.1474609375,0.45,alpha_first
parameterized,1.25,-1.0,0.0687255859375,0.435,alpha_first
parameterized,1.25,-0.5,0.6845703125,0.585,alpha_first
parameterized,1.25,0.0,1.5751953125,0.74,alpha_first
parameterized,1.25,0.5,2.45703125,0.83,alpha_first
parameterized,1.25,1.0,2.552734375,0.815,alpha_first
parameterized,1.25,1.5,2.1171875,0.735,alpha_first
parameterized,1.25,2.0,1.60546875,0.61,alpha_first
orthogonal-parameterized,1.5,-2.0,0.6982421875,0.58,alpha_first
orthogonal-parameterized,1.5,-1.5,1.474609375,0.715,alpha_first
orthogonal-parameterized,1.5,-1.0,2.265625,0.82,alpha_first
orthogonal-parameterized,1.5,-0.5,2.470703125,0.815,alpha_first
orthogonal-parameterized,1.5,0.0,2.083984375,0.71,alpha_first
orthogonal-parameterized,1.5,0.5,1.6259765625,0.62,alpha_first
orthogonal-parameterized,1.5,1.0,1.28125,0.545,alpha_first
orthogonal-parameterized,1.5,1.5,0.98291015625,0.51,alpha_first
orthogonal-parameterized,1.5,2.0,0.783203125,0.48,alpha_first
parameterized,1.5,-2.0,-0.03436279296875,0.45,alpha_first
parameterized,1.5,-1.5,0.014373779296875,0.47,alpha_first
parameterized,1.5,-1.0,0.29248046875,0.475,alpha_first
parameterized,1.5,-0.5,0.884765625,0.635,alpha_first
parameterized,1.5,0.0,1.619140625,0.755,alpha_first
parameterized,1.5,0.5,2.234375,0.815,alpha_first
parameterized,1.5,1.0,2.255859375,0.79,alpha_first
parameterized,1.5,1.5,1.8701171875,0.695,alpha_first
parameterized,1.5,2.0,1.4736328125,0.58,alpha_first
orthogonal-parameterized,1.75,-2.0,1.2861328125,0.685,alpha_first
orthogonal-parameterized,1.75,-1.5,1.9228515625,0.795,alpha_first
orthogonal-parameterized,1.75,-1.0,2.2109375,0.8,alpha_first
orthogonal-parameterized,1.75,-0.5,1.962890625,0.715,alpha_first
orthogonal-parameterized,1.75,0.0,1.5927734375,0.6,alpha_first
orthogonal-parameterized,1.75,0.5,1.2958984375,0.555,alpha_first
orthogonal-parameterized,1.75,1.0,1.0078125,0.5,alpha_first
orthogonal-parameterized,1.75,1.5,0.80126953125,0.49,alpha_first
orthogonal-parameterized,1.75,2.0,0.63330078125,0.475,alpha_first
parameterized,1.75,-2.0,0.06689453125,0.475,alpha_first
parameterized,1.75,-1.5,0.1812744140625,0.49,alpha_first
parameterized,1.75,-1.0,0.421875,0.51,alpha_first
parameterized,1.75,-0.5,0.97705078125,0.63,alpha_first
parameterized,1.75,0.0,1.5634765625,0.755,alpha_first
parameterized,1.75,0.5,2.00390625,0.8,alpha_first
parameterized,1.75,1.0,1.9375,0.74,alpha_first
parameterized,1.75,1.5,1.6337890625,0.64,alpha_first
parameterized,1.75,2.0,1.3203125,0.57,alpha_first
orthogonal-parameterized,2.0,-2.0,1.548828125,0.735,alpha_first
orthogonal-parameterized,2.0,-1.5,1.94921875,0.785,alpha_first
orthogonal-parameterized,2.0,-1.0,1.9072265625,0.735,alpha_first
orthogonal-parameterized,2.0,-0.5,1.6162109375,0.625,alpha_first
orthogonal-parameterized,2.0,0.0,1.3466796875,0.565,alpha_first
orthogonal-parameterized,2.0,0.5,1.1064453125,0.53,alpha_first
orthogonal-parameterized,2.0,1.0,0.837890625,0.49,alpha_first
orthogonal-parameterized,2.0,1.5,0.671875,0.475,alpha_first
orthogonal-parameterized,2.0,2.0,0.5263671875,0.475,alpha_first
parameterized,2.0,-2.0,0.1474609375,0.5,alpha_first
parameterized,2.0,-1.5,0.284912109375,0.5,alpha_first
parameterized,2.0,-1.0,0.53515625,0.54,alpha_first
parameterized,2.0,-0.5,1.037109375,0.655,alpha_first
parameterized,2.0,0.0,1.486328125,0.745,alpha_first
parameterized,2.0,0.5,1.8037109375,0.77,alpha_first
parameterized,2.0,1.0,1.7421875,0.705,alpha_first
parameterized,2.0,1.5,1.4716796875,0.615,alpha_first
parameterized,2.0,2.0,1.203125,0.56,alpha_first
orthogonal-parameterized,-2.0,-2.0,-0.71728515625,0.47,beta_first
orthogonal-parameterized,-2.0,-1.5,-0.6845703125,0.47,beta_first
orthogonal-parameterized,-2.0,-1.0,-0.79833984375,0.465,beta_first
orthogonal-parameterized,-2.0,-0.5,-0.72998046875,0.435,beta_first
orthogonal-parameterized,-2.0,0.0,-0.4638671875,0.33,beta_first
orthogonal-parameterized,-2.0,0.5,-0.28125,0.375,beta_first
orthogonal-parameterized,-2.0,1.0,-0.2587890625,0.365,beta_first
orthogonal-parameterized,-2.0,1.5,-0.2149658203125,0.385,beta_first
orthogonal-parameterized,-2.0,2.0,0.0124969482421875,0.45,beta_first
parameterized,-2.0,-2.0,-0.81396484375,0.46,beta_first
parameterized,-2.0,-1.5,-0.77197265625,0.455,beta_first
parameterized,-2.0,-1.0,-0.685546875,0.425,beta_first
parameterized,-2.0,-0.5,-0.5888671875,0.415,beta_first
parameterized,-2.0,0.0,-0.52685546875,0.34,beta_first
parameterized,-2.0,0.5,-0.445068359375,0.295,beta_first
parameterized,-2.0,1.0,-0.413818359375,0.32,beta_first
parameterized,-2.0,1.5,-0.425537109375,0.32,beta_first
parameterized,-2.0,2.0,-0.405517578125,0.36,beta_first
orthogonal-parameterized,-1.75,-2.0,-0.71435546875,0.47,beta_first
orthogonal-parameterized,-1.75,-1.5,-0.76953125,0.47,beta_first
