estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,0.25,0.5,3.1953125,0.755,alpha_first
orthogonal-parameterized,0.25,1.0,4.17578125,0.795,alpha_first
orthogonal-parameterized,0.25,1.5,4.27734375,0.795,alpha_first
orthogonal-parameterized,0.25,2.0,3.677734375,0.755,alpha_first
parameterized,0.25,-2.0,-0.282470703125,0.475,alpha_first
parameterized,0.25,-1.5,-0.094970703125,0.505,alpha_first
parameterized,0.25,-1.0,0.4599609375,0.54,alpha_first
parameterized,0.25,-0.5,1.3408203125,0.58,alpha_first
parameterized,0.25,0.0,2.203125,0.675,alpha_first
parameterized,0.25,0.5,3.349609375,0.755,alpha_first
parameterized,0.25,1.0,4.140625,0.79,alpha_first
parameterized,0.25,1.5,4.09765625,0.785,alpha_first
parameterized,0.25,2.0,3.4375,0.745,alpha_first
orthogonal-parameterized,0.5,-2.0,-0.2362060546875,0.49,alpha_first
orthogonal-parameterized,0.5,-1.5,0.2049560546875,0.525,alpha_first
orthogonal-parameterized,0.5,-1.0,1.1787109375,0.57,alpha_first
orthogonal-parameterized,0.5,-0.5,2.130859375,0.64,alpha_first
orthogonal-parameterized,0.5,0.0,3.205078125,0.73,alpha_first
orthogonal-parameterized,0.5,0.5,4.22265625,0.77,alpha_first
orthogonal-parameterized,0.5,1.0,4.375,0.775,alpha_first
orthogonal-parameterized,0.5,1.5,3.8359375,0.745,alpha_first
orthogonal-parameterized,0.5,2.0,3.087890625,0.725,alpha_first
parameterized,0.5,-2.0,-0.27880859375,0.485,alpha_first
parameterized,0.5,-1.5,-0.11627197265625,0.5,alpha_first
parameterized,0.5,-1.0,0.615234375,0.54,alpha_first
parameterized,0.5,-0.5,1.462890625,0.585,alpha_first
parameterized,0.5,0.0,2.404296875,0.68,alpha_first
parameterized,0.5,0.5,3.544921875,0.755,alpha_first
parameterized,0.5,1.0,4.328125,0.785,alpha_first
parameterized,0.5,1.5,4.1953125,0.78,alpha_first
parameterized,0.5,2.0,3.474609375,0.745,alpha_first
orthogonal-parameterized,0.75,-2.0,0.1300048828125,0.525,alpha_first
orthogonal-parameterized,0.75,-1.5,1.1416015625,0.555,alpha_first
orthogonal-parameterized,0.75,-1.0,2.15625,0.625,alpha_first
orthogonal-parameterized,0.75,-0.5,3.251953125,0.725,alpha_first
orthogonal-parameterized,0.75,0.0,4.2265625,0.765,alpha_first
orthogonal-parameterized,0.75,0.5,4.48046875,0.785,alpha_first
orthogonal-parameterized,0.75,1.0,3.990234375,0.75,alpha_first
orthogonal-parameterized,0.75,1.5,3.21484375,0.73,alpha_first
orthogonal-parameterized,0.75,2.0,2.513671875,0.69,alpha_first
parameterized,0.75,-2.0,-0.308837890625,0.475,alpha_first
parameterized,0.75,-1.5,-0.0887451171875,0.49,alpha_first
parameterized,0.75,-1.0,0.6875,0.535,alpha_first
parameterized,0.75,-0.5,1.65625,0.6,alpha_first
parameterized,0.75,0.0,2.640625,0.69,alpha_first
parameterized,0.75,0.5,3.794921875,0.76,alpha_first
parameterized,0.75,1.0,4.4609375,0.78,alpha_first
parameterized,0.75,1.5,4.24609375,0.76,alpha_first
parameterized,0.75,2.0,3.5,0.745,alpha_first
orthogonal-parameterized,1.0,-2.0,0.74609375,0.555,alpha_first
orthogonal-parameterized,1.0,-1.5,1.8310546875,0.61,alpha_first
orthogonal-parameterized,1.0,-1.0,2.8671875,0.685,alpha_first
orthogonal-parameterized,1.0,-0.5,3.947265625,0.755,alpha_first
orthogonal-parameterized,1.0,0.0,4.48828125,0.775,alpha_first
orthogonal-parameterized,1.0,0.5,4.2578125,0.75,alpha_first
orthogonal-parameterized,1.0,1.0,3.509765625,0.735,alpha_first
orthogonal-parameterized,1.0,1.5,2.77734375,0.71,alpha_first
orthogonal-parameterized,1.0,2.0,2.1796875,0.645,alpha_first
parameterized,1.0,-2.0,-0.302490234375,0.475,alpha_first
parameterized,1.0,-1.5,-0.05999755859375,0.495,alpha_first
parameterized,1.0,-1.0,0.83251953125,0.545,alpha_first
parameterized,1.0,-0.5,1.78125,0.605,alpha_first
parameterized,1.0,0.0,2.802734375,0.69,alpha_first
parameterized,1.0,0.5,3.9296875,0.75,alpha_first
parameterized,1.0,1.0,4.515625,0.785,alpha_first
parameterized,1.0,1.5,4.234375,0.755,alpha_first
parameterized,1.0,2.0,3.482421875,0.73,alpha_first
orthogonal-parameterized,1.25,-2.0,1.4658203125,0.58,alpha_first
orthogonal-parameterized,1.25,-1.5,2.529296875,0.64,alpha_first
orthogonal-parameterized,1.25,-1.0,3.599609375,0.725,alpha_first
orthogonal-parameterized,1.25,-0.5,4.3671875,0.755,alpha_first
orthogonal-parameterized,1.25,0.0,4.40625,0.76,alpha_first
orthogonal-parameterized,1.25,0.5,3.8125,0.745,alpha_first
orthogonal-parameterized,1.25,1.0,3.044921875,0.705,alpha_first
orthogonal-parameterized,1.25,1.5,2.380859375,0.65,alpha_first
orthogonal-parameterized,1.25,2.0,1.8984375,0.595,alpha_first
parameterized,1.25,-2.0,-0.30615234375,0.48,alpha_first
parameterized,1.25,-1.5,-0.0149993896484375,0.505,alpha_first
parameterized,1.25,-1.0,0.89013671875,0.555,alpha_first
parameterized,1.25,-0.5,1.9453125,0.615,alpha_first
parameterized,1.25,0.0,2.990234375,0.685,alpha_first
parameterized,1.25,0.5,4.05859375,0.745,alpha_first
parameterized,1.25,1.0,4.515625,0.77,alpha_first
parameterized,1.25,1.5,4.203125,0.75,alpha_first
parameterized,1.25,2.0,3.447265625,0.735,alpha_first
orthogonal-parameterized,1.5,-2.0,2.505859375,0.63,alpha_first
orthogonal-parameterized,1.5,-1.5,3.568359375,0.715,alpha_first
orthogonal-parameterized,1.5,-1.0,4.24609375,0.745,alpha_first
orthogonal-parameterized,1.5,-0.5,4.328125,0.75,alpha_first
orthogonal-parameterized,1.5,0.0,3.822265625,0.745,alpha_first
orthogonal-parameterized,1.5,0.5,3.0859375,0.705,alpha_first
orthogonal-parameterized,1.5,1.0,2.45703125,0.655,alpha_first
orthogonal-parameterized,1.5,1.5,1.96875,0.6,alpha_first
orthogonal-parameterized,1.5,2.0,1.5087890625,0.535,alpha_first
parameterized,1.5,-2.0,-0.271240234375,0.48,alpha_first
parameterized,1.5,-1.5,0.0124969482421875,0.51,alpha_first
parameterized,1.5,-1.0,1.03125,0.56,alpha_first
parameterized,1.5,-0.5,2.13671875,0.62,alpha_first
parameterized,1.5,0.0,3.212890625,0.695,alpha_first
parameterized,1.5,0.5,4.16015625,0.74,alpha_first
parameterized,1.5,1.0,4.49609375,0.76,alpha_first
parameterized,1.5,1.5,4.1015625,0.75,alpha_first
parameterized,1.5,2.0,3.3515625,0.715,alpha_first
orthogonal-parameterized,1.75,-2.0,3.4375,0.69,alpha_first
orthogonal-parameterized,1.75,-1.5,4.1171875,0.73,alpha_first
orthogonal-parameterized,1.75,-1.0,4.23828125,0.75,alpha_first
orthogonal-parameterized,1.75,-0.5,3.796875,0.745,alpha_first
orthogonal-parameterized,1.75,0.0,3.1015625,0.7,alpha_first
orthogonal-parameterized,1.75,0.5,2.462890625,0.635,alpha_first
orthogonal-parameterized,1.75,1.0,1.955078125,0.6,alpha_first
orthogonal-parameterized,1.75,1.5,1.5361328125,0.545,alpha_first
orthogonal-parameterized,1.75,2.0,1.1708984375,0.525,alpha_first
parameterized,1.75,-2.0,-0.263671875,0.485,alpha_first
parameterized,1.75,-1.5,0.125,0.51,alpha_first
parameterized,1.75,-1.0,1.1533203125,0.565,alpha_first
parameterized,1.75,-0.5,2.310546875,0.62,alpha_first
parameterized,1.75,0.0,3.376953125,0.695,alpha_first
parameterized,1.75,0.5,4.1875,0.735,alpha_first
parameterized,1.75,1.0,4.3984375,0.75,alpha_first
parameterized,1.75,1.5,3.9765625,0.735,alpha_first
parameterized,1.75,2.0,3.2421875,0.7,alpha_first
orthogonal-parameterized,2.0,-2.0,3.82421875,0.725,alpha_first
orthogonal-parameterized,2.0,-1.5,4.16796875,0.75,alpha_first
orthogonal-parameterized,2.0,-1.0,3.890625,0.735,alpha_first
orthogonal-parameterized,2.0,-0.5,3.345703125,0.71,alpha_first
orthogonal-parameterized,2.0,0.0,2.662109375,0.66,alpha_first
orthogonal-parameterized,2.0,0.5,2.123046875,0.61,alpha_first
orthogonal-parameterized,2.0,1.0,1.6650390625,0.555,alpha_first
orthogonal-parameterized,2.0,1.5,1.294921875,0.53,alpha_first
orthogonal-parameterized,2.0,2.0,0.99267578125,0.51,alpha_first
parameterized,2.0,-2.0,-0.206298828125,0.485,alpha_first
parameterized,2.0,-1.5,0.15380859375,0.515,alpha_first
parameterized,2.0,-1.0,1.21484375,0.575,alpha_first
parameterized,2.0,-0.5,2.390625,0.605,alpha_first
parameterized,2.0,0.0,3.4296875,0.68,alpha_first
parameterized,2.0,0.5,4.16796875,0.73,alpha_first
parameterized,2.0,1.0,4.28515625,0.75,alpha_first
parameterized,2.0,1.5,3.873046875,0.72,alpha_first
parameterized,2.0,2.0,3.1875,0.695,alpha_first
orthogonal-parameterized,-2.0,-2.0,-0.43115234375,0.495,beta_first
orthogonal-parameterized,-2.0,-1.5,-0.46630859375,0.495,beta_first
orthogonal-parameterized,-2.0,-1.0,-0.5224609375,0.46,beta_first
orthogonal-parameterized,-2.0,-0.5,-0.5126953125,0.39,beta_first
orthogonal-parameterized,-2.0,0.0,-0.436279296875,0.345,beta_first
orthogonal-parameterized,-2.0,0.5,-0.28369140625,0.36,beta_first
orthogonal-parameterized,-2.0,1.0,-0.168701171875,0.385,beta_first
orthogonal-parameterized,-2.0,1.5,-0.03375244140625,0.46,beta_first
orthogonal-parameterized,-2.0,2.0,0.1949462890625,0.505,beta_first
parameterized,-2.0,-2.0,-0.55517578125,0.355,beta_first
parameterized,-2.0,-1.5,-0.5439453125,0.345,beta_first
parameterized,-2.0,-1.0,-0.5263671875,0.34,beta_first
parameterized,-2.0,-0.5,-0.49755859375,0.335,beta_first
parameterized,-2.0,0.0,-0.4775390625,0.305,beta_first
parameterized,-2.0,0.5,-0.41748046875,0.315,beta_first
parameterized,-2.0,1.0,-0.367431640625,0.315,beta_first
parameterized,-2.0,1.5,-0.33740234375,0.325,beta_first
parameterized,-2.0,2.0,-0.257568359375,0.355,beta_first
orthogonal-parameterized,-1.75,-2.0,-0.4638671875,0.495,beta_first
orthogonal-parameterized,-1.75,-1.5,-0.517578125,0.48,beta_first
orthogonal-parameterized,-1.75,-1.0,-0.52001953125,0.44,beta_first
orthogonal-parameterized,-1.75,-0.5,-0.472412109375,0.375,beta_first
orthogonal-parameterized,-1.75,0.0,-0.36865234375,0.365,beta_first
orthogonal-parameterized,-1.75,0.5,-0.219970703125,0.385,beta_first
orthogonal-parameterized,-1.75,1.0,-0.1187744140625,0.45,beta_first
orthogonal-parameterized,-1.75,1.5,0.07122802734375,0.49,beta_first
orthogonal-parameterized,-1.75,2.0,0.40625,0.525,beta_first
parameterized,-1.75,-2.0,-0.498779296875,0.345,beta_first
parameterized,-1.75,-1.5,-0.51513671875,0.335,beta_first
parameterized,-1.75,-1.0,-0.486328125,0.315,beta_first
parameterized,-1.75,-0.5,-0.449951171875,0.325,beta_first
parameterized,-1.75,0.0,-0.402587890625,0.32,beta_first
parameterized,-1.75,0.5,-0.333740234375,0.34,beta_first
parameterized,-1.75,1.0,-0.3125,0.335,beta_first
parameterized,-1.75,1.5,-0.2763671875,0.355,beta_first
parameterized,-1.75,2.0,-0.231201171875,0.355,beta_first
orthogonal-parameterized,-1.5,-2.0,-0.486328125,0.495,beta_first
orthogonal-parameterized,-1.5,-1.5,-0.52490234375,0.44,beta_first
orthogonal-parameterized,-1.5,-1.0,-0.50146484375,0.38,beta_first
orthogonal-parameterized,-1.5,-0.5,-0.4111328125,0.345,beta_first
orthogonal-parameterized,-1.5,0.0,-0.27880859375,0.375,beta_first
